,title,vehicle_class,manufacturer,features,acquisition,price,storage_location,delivery_method,modifications,resale_flag,resale_price,race_availability,top_speed_in_game,based_on,seats,weight_in_kg,drive_train,gears,release_date,release_dlc,top_speed_real,lap_time,bulletproof,weapon1_resistance,weapon2_resistance,weapon3_resistance,weapon4_resistance,weapon5_resistance,speed,acceleration,braking,handling,overall,vehicle_url
0,GTA 5: Karin Dilettante,Compacts,Karin,"Electric Vehicle, Has Variants, Hybrid Vehicle, JDM Car",Can be stolen / found,"$25,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$15,000	
	($81,100 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),Toyota Prius,4,"1,400	KG",NA,1,"September 17, 2013",1.01 Game Launch,88.50 mph (142.43 km/h),1:22.917,No,1,1,2,1,1,"Speed
69.75","Acceleration
25.00","Braking
20.00","Handling
53.33","Overall
42.02",https://www.gtabase.com//grand-theft-auto-v/vehicles/karin-dilettante
1,GTA 5: Albany Roosevelt,Sports Classics,Albany,"Has Variants, Passengers can hang on side",Legendary Motorsport,"$750,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$450,000	
	($518,350 when fully upgraded)",Can be used in Races,77.67 mph (125.00 km/h),Cadillac Town Sedan,6,"2,400	KG",RWD,4,"February 13, 2014",1.10 Valentine's Day Massacre,98.50 mph (158.52 km/h),1:17.344,No,1,1,2,1,1,"Speed
67.07","Acceleration
67.50","Braking
18.33","Handling
63.64","Overall
54.13",https://www.gtabase.com//grand-theft-auto-v/vehicles/albany-roosevelt
2,GTA 5: Benefactor Glendale,Sedans,Benefactor,"Has Variants, Has Trade Price, Mystery Prize",Southern S.A. Super Autos,"$200,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$120,000	
	($271,200 when fully upgraded)",Can be used in Races,91.34 mph (147.00 km/h),"Mercedes-Benz E-Class W123, W114, S-Class W109, BMW E3 3.0Si",4,"1,600	KG",RWD,5,"June 17, 2014",1.14 I'm Not a Hipster,107.00 mph (172.20 km/h),1:16.842,No,1,1,2,1,1,"Speed
78.87","Acceleration
58.75","Braking
21.67","Handling
62.12","Overall
55.35",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-glendale
3,GTA 5: Benefactor Krieger,Super,Benefactor,"Bulletproof - Rear, Has Liveries",Legendary Motorsport,"$2,875,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,725,000	
	($1,894,800 when fully upgraded)",Can be used in Races,100.54 mph (161.80 km/h),"Mercedes-AMG One, Audi R8 LMS GT3",2,"1,250	KG",NA,7,"September 12, 2019",1.48 Diamond Casino & Resort,127.25 mph (204.79 km/h),0:58.526,Bulletproof from the rear (rear has no windows),1,1,2,1,1,"Speed
86.81","Acceleration
93.50","Braking
37.33","Handling
100.00","Overall
79.41",https://www.gtabase.com//grand-theft-auto-v/vehicles/krieger
4,GTA 5: Lampadati Tigon,Super,Lampadati,Has Liveries,Legendary Motorsport,"$2,310,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,386,000	
	($1,567,575 when fully upgraded)",Can be used in Races,100.10 mph (161.10 km/h),De Tomaso P7 & Ultima RS,2,"1,250	KG",RWD,7,"August 11, 2020",1.51 LS Summer Special,125.75 mph (202.37 km/h),1:00.027,No,1,1,2,1,1,"Speed
86.44","Acceleration
94.88","Braking
37.33","Handling
100.00","Overall
79.66",https://www.gtabase.com//grand-theft-auto-v/vehicles/tigon
5,GTA 5: Vapid Slamvan (Arena),Muscle,Vapid,"Arena Contender, Armored Vehicle, Custom Vehicle, Has Liveries, Has Variants, Jump Ability, No Passive Mode, Proximity Mines, Rocket Boost, Unique Radar Icon, Weaponized Vehicle",Arena War,"$1,321,875",Garage (Personal Vehicle),Mechanic,Arena Workshop,Can be sold only if purchased (High-End),"$793,125	
	($2,166,465 when fully upgraded)",Arena War Races,84.20 mph (135.50 km/h),"Custom 1950 Ford F6, aka ""Stubby Bob""",2,"1,245	KG",RWD,4,"December 11, 2018",1.46 Arena War,121.00 mph (194.73 km/h),1:13.160,Window plates available at Arena's workshop,3,1,2,1,1,"Speed
72.70","Acceleration
67.50","Braking
13.33","Handling
56.06","Overall
52.40",https://www.gtabase.com//grand-theft-auto-v/vehicles/slamvan-arena
6,GTA 5: Declasse Voodoo,Muscle,Declasse,"Has Variants, Mystery Prize",Can be stolen / found,"$5,500",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$3,300	
	($67,200 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),Chevy Impala,2,"2,100	KG",RWD,4,"September 17, 2013",1.01 Game Launch,99.00 mph (159.32 km/h),1:22.516,No,1,1,2,1,1,"Speed
69.75","Acceleration
42.50","Braking
8.33","Handling
56.06","Overall
44.16",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-voodoo
7,GTA 5: Emperor ETR1,Super,Emperor,"Bulletproof - Rear, Has Liveries, Has Variants, JDM Car",Legendary Motorsport,"$1,995,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,197,000	
	($1,365,025 when fully upgraded)",Can be used in Races,98.49 mph (158.50 km/h),"Toyota 86/R&D Sport Subaru BRZ GT300, Toyota FT-1 Concept, Gazoo Racing Lexus LFA, Nissan GT-R Nismo GT3",2,"1,400	KG",RWD,6,"July 12, 2016",1.35 Cunning Stunts,120.75 mph (194.33 km/h),1:01.195,Bulletproof from the rear (rear has no windows),1,1,2,1,1,"Speed
85.04","Acceleration
82.50","Braking
33.33","Handling
88.73","Overall
72.40",https://www.gtabase.com//grand-theft-auto-v/vehicles/emperor-etr1
8,GTA 5: Dewbauchee Vagner,Super,Dewbauchee,,Legendary Motorsport,"$1,535,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$921,000	
	($1,073,800 when fully upgraded)",Can be used in Races,99.98 mph (160.90 km/h),"Aston Martin Valkyrie, Jaguar C-X75, Nio EP9",2,"1,000	KG",RWD,6,"June 30, 2017",1.40 Gunrunning Pack,126.75 mph (203.98 km/h),0:59.194,No,1,1,2,1,1,"Speed
86.33","Acceleration
92.50","Braking
37.33","Handling
91.69","Overall
76.96",https://www.gtabase.com//grand-theft-auto-v/vehicles/vagner
9,GTA 5: Canis Kamacho,Off-Road,Canis,"Has Liveries, Mystery Prize, Removable Roof",Southern S.A. Super Autos,"$345,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$207,000	
	($397,975 when fully upgraded)",Can be used in Races,83.26 mph (134.00 km/h),Jeep Crew Chief 715 concept,4,"2,350	KG",NA,5,"February 6, 2018",1.42 The Doomsday Heist,116.75 mph (187.89 km/h),1:05.734,No,1,1,2,1,1,"Speed
71.90","Acceleration
63.75","Braking
10.00","Handling
60.61","Overall
51.56",https://www.gtabase.com//grand-theft-auto-v/vehicles/canis-kamacho
